VOIDTK void
IDENFR test
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR a
ASSIGN =
INTCON 2
SEMICN ;
INTTK int
IDENFR b
ASSIGN =
INTCON 5
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "19373332\n"
RPARENT )
SEMICN ;
IDENFR a
PLUS +
IDENFR b
SEMICN ;
SEMICN ;
LBRACE {
RBRACE }
LBRACE {
INTTK int
IDENFR c
ASSIGN =
INTCON 1
SEMICN ;
INTTK int
IDENFR d
ASSIGN =
INTCON 0
SEMICN ;
IDENFR c
ASSIGN =
IDENFR a
SEMICN ;
IDENFR d
ASSIGN =
IDENFR b
MULT *
INTCON 9
PLUS +
INTCON 1
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Stmt-3(Block): c = %d, d = %d\n"
COMMA ,
IDENFR c
COMMA ,
IDENFR d
RPARENT )
SEMICN ;
INTTK int
IDENFR e
ASSIGN =
INTCON 1
SEMICN ;
INTTK int
IDENFR f
ASSIGN =
INTCON 0
SEMICN ;
IDENFR e
ASSIGN =
INTCON 2
MULT *
IDENFR c
SEMICN ;
IDENFR f
ASSIGN =
IDENFR e
MULT *
IDENFR d
DIV /
IDENFR c
MULT *
INTCON 9
PLUS +
INTCON 1
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Stmt-3(Block): e = %d, f = %d\n"
COMMA ,
IDENFR e
COMMA ,
IDENFR f
RPARENT )
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR b
NEQ !=
INTCON 0
RPARENT )
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR b
NEQ !=
INTCON 0
RPARENT )
LBRACE {
IDENFR a
ASSIGN =
INTCON 0
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IDENFR a
ASSIGN =
INTCON 1
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
STRCON "Stmt-4(if) check finish!\n"
RPARENT )
SEMICN ;
INTTK int
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
WHILETK while
LPARENT (
IDENFR a
LSS <
INTCON 10
RPARENT )
LBRACE {
IDENFR i
ASSIGN =
IDENFR i
MULT *
INTCON 2
SEMICN ;
IDENFR a
ASSIGN =
IDENFR a
PLUS +
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR a
GEQ >=
INTCON 6
RPARENT )
LBRACE {
CONTINUETK continue
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR a
EQL ==
INTCON 5
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
RBRACE }
PRINTFTK printf
LPARENT (
STRCON "Stmt-5,6 check finish!\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Stmt-7 check finish!\n"
RPARENT )
SEMICN ;
IDENFR a
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Stmt-8 check finish!\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "FormatChar.\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR a
MULT *
INTCON 2
PLUS +
INTCON 1
RPARENT )
SEMICN ;
IDENFR test
LPARENT (
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
